Variable 1,Variable 2,Correlation (Total),Correlation (Churn=0),Correlation (Churn=1),Correlation (Total) (ABS),Correlation (Churn=0) (ABS),Correlation (Churn=1) (ABS)
date_of_last_rech_6,spl_ic_mou_7,0.0301,0.0278,0.0419,0.0301,0.0278,0.0419
date_of_last_rech_6,spl_ic_mou_8,-0.0196,-0.0292,0.0087,0.0196,0.0292,0.0087
date_of_last_rech_6,isd_ic_mou_6,0.0103,0.0078,0.0278,0.0103,0.0078,0.0278
date_of_last_rech_6,isd_ic_mou_7,0.0054,0.0032,0.015,0.0054,0.0032,0.015
date_of_last_rech_6,isd_ic_mou_8,0.004,0.0023,0.0039,0.004,0.0023,0.0039
date_of_last_rech_6,ic_others_6,0.0078,0.0068,0.0183,0.0078,0.0068,0.0183
date_of_last_rech_6,ic_others_7,0.0064,0.0056,0.0114,0.0064,0.0056,0.0114
date_of_last_rech_6,ic_others_8,0.0046,0.0034,0.0065,0.0046,0.0034,0.0065
date_of_last_rech_6,total_rech_num_6,0.136,0.1256,0.1984,0.136,0.1256,0.1984
date_of_last_rech_6,total_rech_num_7,0.0565,0.0432,0.1101,0.0565,0.0432,0.1101
date_of_last_rech_6,total_rech_num_8,0.0204,0.0029,0.0731,0.0204,0.0029,0.0731
date_of_last_rech_6,total_rech_amt_6,0.1027,0.0942,0.1559,0.1027,0.0942,0.1559
date_of_last_rech_6,total_rech_amt_7,0.0403,0.0358,0.0449,0.0403,0.0358,0.0449
date_of_last_rech_6,total_rech_amt_8,0.024,0.014,0.0203,0.024,0.014,0.0203
date_of_last_rech_6,max_rech_amt_6,0.1089,0.1006,0.1528,0.1089,0.1006,0.1528
date_of_last_rech_6,max_rech_amt_7,0.0099,0.011,-0.0202,0.0099,0.011,0.0202
date_of_last_rech_6,max_rech_amt_8,0.0149,0.0099,-0.0216,0.0149,0.0099,0.0216
date_of_last_rech_7,arpu_6,0.0265,0.0263,0.0559,0.0265,0.0263,0.0559
date_of_last_rech_7,arpu_7,0.084,0.0492,0.1952,0.084,0.0492,0.1952
date_of_last_rech_7,arpu_8,0.065,0.03,0.098,0.065,0.03,0.098
date_of_last_rech_7,onnet_mou_6,0.0163,0.0049,0.0778,0.0163,0.0049,0.0778
date_of_last_rech_7,onnet_mou_7,0.0415,0.0277,0.0934,0.0415,0.0277,0.0934
date_of_last_rech_7,onnet_mou_8,0.0317,0.0159,0.0502,0.0317,0.0159,0.0502
date_of_last_rech_7,offnet_mou_6,0.0121,0.004,0.0549,0.0121,0.004,0.0549
date_of_last_rech_7,offnet_mou_7,0.0433,0.0286,0.084,0.0433,0.0286,0.084
date_of_last_rech_7,offnet_mou_8,0.0304,0.0136,0.0228,0.0304,0.0136,0.0228
date_of_last_rech_7,roam_ic_mou_6,0.0154,0.0086,0.0487,0.0154,0.0086,0.0487
date_of_last_rech_7,roam_ic_mou_7,0.0134,0.0083,0.045,0.0134,0.0083,0.045
date_of_last_rech_7,roam_ic_mou_8,0.0137,0.0081,0.0487,0.0137,0.0081,0.0487
date_of_last_rech_7,roam_og_mou_6,0.0128,0.0039,0.0595,0.0128,0.0039,0.0595
date_of_last_rech_7,roam_og_mou_7,0.0174,0.0106,0.0679,0.0174,0.0106,0.0679
date_of_last_rech_7,roam_og_mou_8,0.0131,0.0076,0.0549,0.0131,0.0076,0.0549
date_of_last_rech_7,loc_og_t2t_mou_6,0.0155,0.0054,0.0248,0.0155,0.0054,0.0248
date_of_last_rech_7,loc_og_t2t_mou_7,0.0248,0.0143,0.0398,0.0248,0.0143,0.0398
date_of_last_rech_7,loc_og_t2t_mou_8,0.0213,0.0105,0.006,0.0213,0.0105,0.006
date_of_last_rech_7,loc_og_t2m_mou_6,0.0159,0.0072,-0.0117,0.0159,0.0072,0.0117
date_of_last_rech_7,loc_og_t2m_mou_7,0.0375,0.0215,0.0295,0.0375,0.0215,0.0295
date_of_last_rech_7,loc_og_t2m_mou_8,0.0317,0.0148,-0.0384,0.0317,0.0148,0.0384
date_of_last_rech_7,loc_og_t2f_mou_6,0.0115,-0.0004,0.0175,0.0115,0.0004,0.0175
date_of_last_rech_7,loc_og_t2f_mou_7,0.019,0.0028,0.0494,0.019,0.0028,0.0494
date_of_last_rech_7,loc_og_t2f_mou_8,0.0168,-0.0002,0.0329,0.0168,0.0002,0.0329
date_of_last_rech_7,loc_og_t2c_mou_6,0.007,0.0067,0.0103,0.007,0.0067,0.0103
date_of_last_rech_7,loc_og_t2c_mou_7,0.0195,0.0142,0.0302,0.0195,0.0142,0.0302
date_of_last_rech_7,loc_og_t2c_mou_8,0.0161,0.0048,0.0406,0.0161,0.0048,0.0406
date_of_last_rech_7,loc_og_mou_6,0.0181,0.007,0.0036,0.0181,0.007,0.0036
date_of_last_rech_7,loc_og_mou_7,0.0369,0.0217,0.0292,0.0369,0.0217,0.0292
date_of_last_rech_7,loc_og_mou_8,0.0313,0.0158,-0.0353,0.0313,0.0158,0.0353
date_of_last_rech_7,std_og_t2t_mou_6,0.0122,0.004,0.0743,0.0122,0.004,0.0743
date_of_last_rech_7,std_og_t2t_mou_7,0.0376,0.0246,0.0929,0.0376,0.0246,0.0929
date_of_last_rech_7,std_og_t2t_mou_8,0.0279,0.0119,0.0582,0.0279,0.0119,0.0582
date_of_last_rech_7,std_og_t2m_mou_6,0.0098,0.0027,0.0676,0.0098,0.0027,0.0676
date_of_last_rech_7,std_og_t2m_mou_7,0.0372,0.0228,0.0973,0.0372,0.0228,0.0973
date_of_last_rech_7,std_og_t2m_mou_8,0.0248,0.007,0.0615,0.0248,0.007,0.0615
date_of_last_rech_7,std_og_t2f_mou_6,-0.0073,-0.0156,-0.0057,0.0073,0.0156,0.0057
date_of_last_rech_7,std_og_t2f_mou_7,0.0073,-0.0012,0.025,0.0073,0.0012,0.025
date_of_last_rech_7,std_og_t2f_mou_8,0.0047,-0.005,0.0127,0.0047,0.005,0.0127
date_of_last_rech_7,std_og_mou_6,0.0134,0.0037,0.0934,0.0134,0.0037,0.0934
date_of_last_rech_7,std_og_mou_7,0.0477,0.0304,0.1231,0.0477,0.0304,0.1231
date_of_last_rech_7,std_og_mou_8,0.0335,0.0121,0.0743,0.0335,0.0121,0.0743
date_of_last_rech_7,isd_og_mou_6,0.0022,0.0016,0.0143,0.0022,0.0016,0.0143
date_of_last_rech_7,isd_og_mou_7,0.0034,0.0022,0.0169,0.0034,0.0022,0.0169
date_of_last_rech_7,isd_og_mou_8,0.0024,0.001,0.0125,0.0024,0.001,0.0125
date_of_last_rech_7,spl_og_mou_6,0.0077,0.0095,0.0123,0.0077,0.0095,0.0123
date_of_last_rech_7,spl_og_mou_7,0.0254,0.0167,0.0582,0.0254,0.0167,0.0582
date_of_last_rech_7,spl_og_mou_8,0.0225,0.0081,0.0559,0.0225,0.0081,0.0559
date_of_last_rech_7,og_others_6,0.0028,0.002,0.0147,0.0028,0.002,0.0147
date_of_last_rech_7,og_others_7,0.0017,0.0011,0.0054,0.0017,0.0011,0.0054
date_of_last_rech_7,og_others_8,0.0016,0.001,-0.0153,0.0016,0.001,0.0153
date_of_last_rech_7,total_og_mou_6,0.0278,0.0103,0.1011,0.0278,0.0103,0.1011
date_of_last_rech_7,total_og_mou_7,0.0701,0.0406,0.1503,0.0701,0.0406,0.1503
date_of_last_rech_7,total_og_mou_8,0.0536,0.019,0.0928,0.0536,0.019,0.0928
date_of_last_rech_7,loc_ic_t2t_mou_6,0.012,0.0049,0.0102,0.012,0.0049,0.0102
date_of_last_rech_7,loc_ic_t2t_mou_7,0.021,0.0089,0.029,0.021,0.0089,0.029
date_of_last_rech_7,loc_ic_t2t_mou_8,0.0201,0.0081,-0.0002,0.0201,0.0081,0.0002
date_of_last_rech_7,loc_ic_t2m_mou_6,0.0255,0.0205,-0.0098,0.0255,0.0205,0.0098
date_of_last_rech_7,loc_ic_t2m_mou_7,0.0425,0.0303,0.0137,0.0425,0.0303,0.0137
date_of_last_rech_7,loc_ic_t2m_mou_8,0.0418,0.0315,-0.0588,0.0418,0.0315,0.0588
date_of_last_rech_7,loc_ic_t2f_mou_6,0.0147,0.0097,-0.0166,0.0147,0.0097,0.0166
date_of_last_rech_7,loc_ic_t2f_mou_7,0.0245,0.0107,0.0523,0.0245,0.0107,0.0523
date_of_last_rech_7,loc_ic_t2f_mou_8,0.0271,0.0141,0.0306,0.0271,0.0141,0.0306
date_of_last_rech_7,loc_ic_mou_6,0.0228,0.0167,-0.011,0.0228,0.0167,0.011
date_of_last_rech_7,loc_ic_mou_7,0.0391,0.0254,0.0138,0.0391,0.0254,0.0138
date_of_last_rech_7,loc_ic_mou_8,0.0391,0.0277,-0.0685,0.0391,0.0277,0.0685
date_of_last_rech_7,std_ic_t2t_mou_6,0.0113,0.0069,0.034,0.0113,0.0069,0.034
date_of_last_rech_7,std_ic_t2t_mou_7,0.0175,0.0085,0.0459,0.0175,0.0085,0.0459
date_of_last_rech_7,std_ic_t2t_mou_8,0.0143,0.0047,0.0386,0.0143,0.0047,0.0386
date_of_last_rech_7,std_ic_t2m_mou_6,0.0079,0.0035,0.0264,0.0079,0.0035,0.0264
date_of_last_rech_7,std_ic_t2m_mou_7,0.0216,0.01,0.0557,0.0216,0.01,0.0557
date_of_last_rech_7,std_ic_t2m_mou_8,0.0191,0.007,0.0384,0.0191,0.007,0.0384
date_of_last_rech_7,std_ic_t2f_mou_6,0.005,0.0016,0.0006,0.005,0.0016,0.0006
date_of_last_rech_7,std_ic_t2f_mou_7,0.008,-0.0011,0.0318,0.008,0.0011,0.0318
date_of_last_rech_7,std_ic_t2f_mou_8,0.0084,0.0006,0.0173,0.0084,0.0006,0.0173
date_of_last_rech_7,std_ic_mou_6,0.0109,0.0056,0.0346,0.0109,0.0056,0.0346
date_of_last_rech_7,std_ic_mou_7,0.024,0.011,0.0622,0.024,0.011,0.0622
date_of_last_rech_7,std_ic_mou_8,0.0207,0.0077,0.0361,0.0207,0.0077,0.0361
date_of_last_rech_7,total_ic_mou_6,0.0389,0.0237,0.0463,0.0389,0.0237,0.0463
date_of_last_rech_7,total_ic_mou_7,0.067,0.0341,0.1258,0.067,0.0341,0.1258
date_of_last_rech_7,total_ic_mou_8,0.0634,0.0291,0.09,0.0634,0.0291,0.09
date_of_last_rech_7,spl_ic_mou_6,0.0246,0.015,0.0499,0.0246,0.015,0.0499
date_of_last_rech_7,spl_ic_mou_7,0.0304,0.0216,0.0637,0.0304,0.0216,0.0637
date_of_last_rech_7,spl_ic_mou_8,0.0188,0.0027,0.0289,0.0188,0.0027,0.0289
date_of_last_rech_7,isd_ic_mou_6,0.0079,0.0063,0.02,0.0079,0.0063,0.02
date_of_last_rech_7,isd_ic_mou_7,0.0147,0.0092,0.0348,0.0147,0.0092,0.0348
date_of_last_rech_7,isd_ic_mou_8,0.0134,0.0079,0.0207,0.0134,0.0079,0.0207
date_of_last_rech_7,ic_others_6,0.0049,0.0038,0.0094,0.0049,0.0038,0.0094
date_of_last_rech_7,ic_others_7,0.0085,0.0056,0.0217,0.0085,0.0056,0.0217
date_of_last_rech_7,ic_others_8,0.0083,0.0048,0.0177,0.0083,0.0048,0.0177
date_of_last_rech_7,total_rech_num_6,0.0598,0.0532,0.1174,0.0598,0.0532,0.1174
date_of_last_rech_7,total_rech_num_7,0.1466,0.1077,0.2946,0.1466,0.1077,0.2946
date_of_last_rech_7,total_rech_num_8,0.0925,0.0471,0.2106,0.0925,0.0471,0.2106
date_of_last_rech_7,total_rech_amt_6,0.0253,0.01,0.0893,0.0253,0.01,0.0893
date_of_last_rech_7,total_rech_amt_7,0.1051,0.0775,0.2011,0.1051,0.0775,0.2011
date_of_last_rech_7,total_rech_amt_8,0.0606,0.0234,0.0973,0.0606,0.0234,0.0973
date_of_last_rech_7,max_rech_amt_6,-0.0209,-0.0483,0.0309,0.0209,0.0483,0.0309
date_of_last_rech_7,max_rech_amt_7,0.1155,0.0871,0.1824,0.1155,0.0871,0.1824
date_of_last_rech_7,max_rech_amt_8,0.0342,-0.0161,0.0677,0.0342,0.0161,0.0677
date_of_last_rech_7,date_of_last_rech_6,0.0913,0.0271,0.181,0.0913,0.0271,0.181
date_of_last_rech_8,arpu_6,-0.0049,0.0156,-0.0285,0.0049,0.0156,0.0285
date_of_last_rech_8,arpu_7,0.0858,0.0526,0.1742,0.0858,0.0526,0.1742
date_of_last_rech_8,arpu_8,0.1244,0.0727,0.2092,0.1244,0.0727,0.2092
date_of_last_rech_8,onnet_mou_6,0.0152,0.0191,0.0625,0.0152,0.0191,0.0625
date_of_last_rech_8,onnet_mou_7,0.047,0.0318,0.1069,0.047,0.0318,0.1069
date_of_last_rech_8,onnet_mou_8,0.0596,0.042,0.0784,0.0596,0.042,0.0784
date_of_last_rech_8,offnet_mou_6,0.0061,0.0122,0.0256,0.0061,0.0122,0.0256
date_of_last_rech_8,offnet_mou_7,0.0461,0.0322,0.0775,0.0461,0.0322,0.0775
date_of_last_rech_8,offnet_mou_8,0.0663,0.0511,0.039,0.0663,0.0511,0.039
date_of_last_rech_8,roam_ic_mou_6,0.0029,0.0034,0.0348,0.0029,0.0034,0.0348
date_of_last_rech_8,roam_ic_mou_7,0.015,0.0074,0.0645,0.015,0.0074,0.0645
date_of_last_rech_8,roam_ic_mou_8,0.0203,0.0121,0.0757,0.0203,0.0121,0.0757
date_of_last_rech_8,roam_og_mou_6,0.0012,0.0065,0.0371,0.0012,0.0065,0.0371
date_of_last_rech_8,roam_og_mou_7,0.0209,0.0124,0.0972,0.0209,0.0124,0.0972
date_of_last_rech_8,roam_og_mou_8,0.0251,0.0155,0.0944,0.0251,0.0155,0.0944
date_of_last_rech_8,loc_og_t2t_mou_6,0.0091,-0.0012,-0.0059,0.0091,0.0012,0.0059
date_of_last_rech_8,loc_og_t2t_mou_7,0.0264,0.0101,0.0323,0.0264,0.0101,0.0323
date_of_last_rech_8,loc_og_t2t_mou_8,0.0339,0.0189,0.0072,0.0339,0.0189,0.0072
date_of_last_rech_8,loc_og_t2m_mou_6,0.0011,-0.0056,-0.095,0.0011,0.0056,0.095
date_of_last_rech_8,loc_og_t2m_mou_7,0.0382,0.0185,-0.0178,0.0382,0.0185,0.0178
date_of_last_rech_8,loc_og_t2m_mou_8,0.0575,0.0378,-0.0669,0.0575,0.0378,0.0669
date_of_last_rech_8,loc_og_t2f_mou_6,-0.0058,-0.0205,-0.0535,0.0058,0.0205,0.0535
date_of_last_rech_8,loc_og_t2f_mou_7,0.0133,-0.0068,0.0049,0.0133,0.0068,0.0049
date_of_last_rech_8,loc_og_t2f_mou_8,0.0296,0.0049,0.0565,0.0296,0.0049,0.0565
date_of_last_rech_8,loc_og_t2c_mou_6,0.0056,0.0073,0.0038,0.0056,0.0073,0.0038
date_of_last_rech_8,loc_og_t2c_mou_7,0.014,0.0098,0.0234,0.014,0.0098,0.0234
date_of_last_rech_8,loc_og_t2c_mou_8,0.0358,0.0233,0.0692,0.0358,0.0233,0.0692
date_of_last_rech_8,loc_og_mou_6,0.005,-0.0053,-0.0671,0.005,0.0053,0.0671
date_of_last_rech_8,loc_og_mou_7,0.0383,0.0172,-0.0086,0.0383,0.0172,0.0086
date_of_last_rech_8,loc_og_mou_8,0.0541,0.0352,-0.0624,0.0541,0.0352,0.0624
date_of_last_rech_8,std_og_t2t_mou_6,0.0139,0.0224,0.0685,0.0139,0.0224,0.0685
date_of_last_rech_8,std_og_t2t_mou_7,0.0425,0.031,0.1051,0.0425,0.031,0.1051
date_of_last_rech_8,std_og_t2t_mou_8,0.0551,0.0374,0.0921,0.0551,0.0374,0.0921
date_of_last_rech_8,std_og_t2m_mou_6,0.011,0.0193,0.0626,0.011,0.0193,0.0626
date_of_last_rech_8,std_og_t2m_mou_7,0.0396,0.0275,0.1022,0.0396,0.0275,0.1022
date_of_last_rech_8,std_og_t2m_mou_8,0.0564,0.0377,0.1032,0.0564,0.0377,0.1032
date_of_last_rech_8,std_og_t2f_mou_6,-0.0072,-0.0117,-0.0366,0.0072,0.0117,0.0366
date_of_last_rech_8,std_og_t2f_mou_7,0.0025,-0.0082,0.0077,0.0025,0.0082,0.0077
date_of_last_rech_8,std_og_t2f_mou_8,0.0115,-0.0017,0.0224,0.0115,0.0017,0.0224
date_of_last_rech_8,std_og_mou_6,0.0157,0.0268,0.0868,0.0157,0.0268,0.0868
date_of_last_rech_8,std_og_mou_7,0.0525,0.0377,0.1344,0.0525,0.0377,0.1344
date_of_last_rech_8,std_og_mou_8,0.0713,0.0489,0.1207,0.0713,0.0489,0.1207
date_of_last_rech_8,isd_og_mou_6,-0.0074,0.0005,-0.0343,0.0074,0.0005,0.0343
date_of_last_rech_8,isd_og_mou_7,0.0017,0.0024,0.0036,0.0017,0.0024,0.0036
date_of_last_rech_8,isd_og_mou_8,0.0048,0.003,0.021,0.0048,0.003,0.021
date_of_last_rech_8,spl_og_mou_6,0.0016,0.0085,-0.0072,0.0016,0.0085,0.0072
date_of_last_rech_8,spl_og_mou_7,0.0219,0.0154,0.0447,0.0219,0.0154,0.0447
date_of_last_rech_8,spl_og_mou_8,0.0467,0.0298,0.0998,0.0467,0.0298,0.0998
date_of_last_rech_8,og_others_6,-0.001,0.003,-0.0027,0.001,0.003,0.0027
date_of_last_rech_8,og_others_7,0.0019,0.0011,0.0057,0.0019,0.0011,0.0057
date_of_last_rech_8,og_others_8,0.0024,0.0016,0.0129,0.0024,0.0016,0.0129
date_of_last_rech_8,total_og_mou_6,0.018,0.0189,0.0603,0.018,0.0189,0.0603
date_of_last_rech_8,total_og_mou_7,0.0738,0.0424,0.147,0.0738,0.0424,0.147
date_of_last_rech_8,total_og_mou_8,0.1037,0.0621,0.1514,0.1037,0.0621,0.1514
date_of_last_rech_8,loc_ic_t2t_mou_6,0.0063,0.0011,-0.0223,0.0063,0.0011,0.0223
date_of_last_rech_8,loc_ic_t2t_mou_7,0.0219,0.0081,0.0117,0.0219,0.0081,0.0117
date_of_last_rech_8,loc_ic_t2t_mou_8,0.0303,0.0137,-0.015,0.0303,0.0137,0.015
date_of_last_rech_8,loc_ic_t2m_mou_6,0.0098,0.0052,-0.0786,0.0098,0.0052,0.0786
date_of_last_rech_8,loc_ic_t2m_mou_7,0.0403,0.0194,-0.0239,0.0403,0.0194,0.0239
date_of_last_rech_8,loc_ic_t2m_mou_8,0.0524,0.0336,-0.1039,0.0524,0.0336,0.1039
date_of_last_rech_8,loc_ic_t2f_mou_6,0.005,0.0012,-0.0867,0.005,0.0012,0.0867
date_of_last_rech_8,loc_ic_t2f_mou_7,0.0195,0.0033,-0.0186,0.0195,0.0033,0.0186
date_of_last_rech_8,loc_ic_t2f_mou_8,0.0331,0.0098,0.0431,0.0331,0.0098,0.0431
date_of_last_rech_8,loc_ic_mou_6,0.0095,0.0044,-0.0752,0.0095,0.0044,0.0752
date_of_last_rech_8,loc_ic_mou_7,0.0378,0.0174,-0.0255,0.0378,0.0174,0.0255
date_of_last_rech_8,loc_ic_mou_8,0.0499,0.031,-0.1266,0.0499,0.031,0.1266
date_of_last_rech_8,std_ic_t2t_mou_6,-0.0039,-0.0037,0.006,0.0039,0.0037,0.006
date_of_last_rech_8,std_ic_t2t_mou_7,0.0114,0.0011,0.0375,0.0114,0.0011,0.0375
date_of_last_rech_8,std_ic_t2t_mou_8,0.0202,0.0037,0.0694,0.0202,0.0037,0.0694
date_of_last_rech_8,std_ic_t2m_mou_6,-0.0014,-0.0002,0.0013,0.0014,0.0002,0.0013
date_of_last_rech_8,std_ic_t2m_mou_7,0.0228,0.0097,0.0508,0.0228,0.0097,0.0508
date_of_last_rech_8,std_ic_t2m_mou_8,0.034,0.0174,0.0659,0.034,0.0174,0.0659
date_of_last_rech_8,std_ic_t2f_mou_6,0.0002,-0.0035,-0.0265,0.0002,0.0035,0.0265
date_of_last_rech_8,std_ic_t2f_mou_7,0.0107,0.0011,0.0141,0.0107,0.0011,0.0141
date_of_last_rech_8,std_ic_t2f_mou_8,0.0114,-0.0015,0.0332,0.0114,0.0015,0.0332
date_of_last_rech_8,std_ic_mou_6,-0.0036,-0.0025,0.0005,0.0036,0.0025,0.0005
date_of_last_rech_8,std_ic_mou_7,0.0225,0.0079,0.0528,0.0225,0.0079,0.0528
date_of_last_rech_8,std_ic_mou_8,0.0339,0.0144,0.0643,0.0339,0.0144,0.0643
date_of_last_rech_8,total_ic_mou_6,0.0118,0.0023,-0.0489,0.0118,0.0023,0.0489
date_of_last_rech_8,total_ic_mou_7,0.0622,0.0206,0.0838,0.0622,0.0206,0.0838
date_of_last_rech_8,total_ic_mou_8,0.0911,0.0363,0.144,0.0911,0.0363,0.144
date_of_last_rech_8,spl_ic_mou_6,0.0126,0.0084,-0.0088,0.0126,0.0084,0.0088
date_of_last_rech_8,spl_ic_mou_7,0.0211,0.0091,0.0389,0.0211,0.0091,0.0389
date_of_last_rech_8,spl_ic_mou_8,0.0502,0.0367,0.0445,0.0502,0.0367,0.0445
date_of_last_rech_8,isd_ic_mou_6,-0.0041,-0.0018,-0.0128,0.0041,0.0018,0.0128
date_of_last_rech_8,isd_ic_mou_7,0.0088,0.0016,0.0258,0.0088,0.0016,0.0258
date_of_last_rech_8,isd_ic_mou_8,0.0157,0.0041,0.0367,0.0157,0.0041,0.0367
date_of_last_rech_8,ic_others_6,0.0015,0.0038,-0.0227,0.0015,0.0038,0.0227
date_of_last_rech_8,ic_others_7,0.0075,0.0041,0.0132,0.0075,0.0041,0.0132
date_of_last_rech_8,ic_others_8,0.0123,0.0067,0.0306,0.0123,0.0067,0.0306
date_of_last_rech_8,total_rech_num_6,0.0355,0.0493,0.049,0.0355,0.0493,0.049
date_of_last_rech_8,total_rech_num_7,0.1252,0.0849,0.2486,0.1252,0.0849,0.2486
date_of_last_rech_8,total_rech_num_8,0.1918,0.1376,0.3975,0.1918,0.1376,0.3975
date_of_last_rech_8,total_rech_amt_6,0.0047,0.0162,0.0001,0.0047,0.0162,0.0001
date_of_last_rech_8,total_rech_amt_7,0.0793,0.0357,0.1849,0.0793,0.0357,0.1849
date_of_last_rech_8,total_rech_amt_8,0.1451,0.1058,0.206,0.1451,0.1058,0.206
date_of_last_rech_8,max_rech_amt_6,-0.0368,-0.0526,-0.0348,0.0368,0.0526,0.0348
date_of_last_rech_8,max_rech_amt_7,0.0261,-0.0463,0.1364,0.0261,0.0463,0.1364
date_of_last_rech_8,max_rech_amt_8,0.165,0.1223,0.2017,0.165,0.1223,0.2017
date_of_last_rech_8,date_of_last_rech_6,0.0651,0.0183,0.1053,0.0651,0.0183,0.1053
date_of_last_rech_8,date_of_last_rech_7,0.2928,0.0617,0.4363,0.2928,0.0617,0.4363
last_day_rch_amt_6,arpu_6,0.35,0.3471,0.377,0.35,0.3471,0.377
last_day_rch_amt_6,arpu_7,0.3296,0.3321,0.3049,0.3296,0.3321,0.3049
last_day_rch_amt_6,arpu_8,0.2693,0.2774,0.1999,0.2693,0.2774,0.1999
last_day_rch_amt_6,onnet_mou_6,0.1116,0.1158,0.0961,0.1116,0.1158,0.0961
last_day_rch_amt_6,onnet_mou_7,0.1006,0.1002,0.1028,0.1006,0.1002,0.1028
last_day_rch_amt_6,onnet_mou_8,0.0778,0.0743,0.1134,0.0778,0.0743,0.1134
last_day_rch_amt_6,offnet_mou_6,0.2081,0.2198,0.1391,0.2081,0.2198,0.1391
last_day_rch_amt_6,offnet_mou_7,0.1841,0.192,0.1159,0.1841,0.192,0.1159
last_day_rch_amt_6,offnet_mou_8,0.1513,0.1566,0.0855,0.1513,0.1566,0.0855
last_day_rch_amt_6,roam_ic_mou_6,0.0587,0.063,0.0515,0.0587,0.063,0.0515
last_day_rch_amt_6,roam_ic_mou_7,0.0489,0.0547,0.0444,0.0489,0.0547,0.0444
last_day_rch_amt_6,roam_ic_mou_8,0.0497,0.0578,0.0288,0.0497,0.0578,0.0288
last_day_rch_amt_6,roam_og_mou_6,0.0891,0.0776,0.1601,0.0891,0.0776,0.1601
last_day_rch_amt_6,roam_og_mou_7,0.0946,0.0743,0.2081,0.0946,0.0743,0.2081
last_day_rch_amt_6,roam_og_mou_8,0.0919,0.0608,0.2517,0.0919,0.0608,0.2517
last_day_rch_amt_6,loc_og_t2t_mou_6,0.0956,0.0995,0.0529,0.0956,0.0995,0.0529
last_day_rch_amt_6,loc_og_t2t_mou_7,0.0934,0.0949,0.0792,0.0934,0.0949,0.0792
last_day_rch_amt_6,loc_og_t2t_mou_8,0.0837,0.0871,0.0279,0.0837,0.0871,0.0279
last_day_rch_amt_6,loc_og_t2m_mou_6,0.2174,0.2255,0.1317,0.2174,0.2255,0.1317
last_day_rch_amt_6,loc_og_t2m_mou_7,0.2175,0.2264,0.1177,0.2175,0.2264,0.1177
last_day_rch_amt_6,loc_og_t2m_mou_8,0.2019,0.2108,0.1075,0.2019,0.2108,0.1075
last_day_rch_amt_6,loc_og_t2f_mou_6,0.1983,0.2029,0.1602,0.1983,0.2029,0.1602
last_day_rch_amt_6,loc_og_t2f_mou_7,0.1975,0.2058,0.1049,0.1975,0.2058,0.1049
last_day_rch_amt_6,loc_og_t2f_mou_8,0.1856,0.1957,0.0501,0.1856,0.1957,0.0501
last_day_rch_amt_6,loc_og_t2c_mou_6,0.0061,0.0055,0.0109,0.0061,0.0055,0.0109
last_day_rch_amt_6,loc_og_t2c_mou_7,-0.0093,-0.0104,-0.0059,0.0093,0.0104,0.0059
last_day_rch_amt_6,loc_og_t2c_mou_8,-0.0168,-0.0189,-0.0022,0.0168,0.0189,0.0022
last_day_rch_amt_6,loc_og_mou_6,0.2069,0.2148,0.1226,0.2069,0.2148,0.1226
last_day_rch_amt_6,loc_og_mou_7,0.2052,0.2123,0.1287,0.2052,0.2123,0.1287
last_day_rch_amt_6,loc_og_mou_8,0.1882,0.1968,0.0839,0.1882,0.1968,0.0839
last_day_rch_amt_6,std_og_t2t_mou_6,0.0653,0.0691,0.0576,0.0653,0.0691,0.0576
last_day_rch_amt_6,std_og_t2t_mou_7,0.0538,0.0548,0.0489,0.0538,0.0548,0.0489
last_day_rch_amt_6,std_og_t2t_mou_8,0.0315,0.0319,0.014,0.0315,0.0319,0.014
last_day_rch_amt_6,std_og_t2m_mou_6,0.0843,0.0883,0.0759,0.0843,0.0883,0.0759
last_day_rch_amt_6,std_og_t2m_mou_7,0.064,0.0651,0.0578,0.064,0.0651,0.0578
last_day_rch_amt_6,std_og_t2m_mou_8,0.0369,0.038,0.009,0.0369,0.038,0.009
last_day_rch_amt_6,std_og_t2f_mou_6,0.0981,0.0998,0.0824,0.0981,0.0998,0.0824
last_day_rch_amt_6,std_og_t2f_mou_7,0.0902,0.0948,0.0377,0.0902,0.0948,0.0377
last_day_rch_amt_6,std_og_t2f_mou_8,0.0859,0.0903,0.0223,0.0859,0.0903,0.0223
last_day_rch_amt_6,std_og_mou_6,0.0992,0.104,0.0902,0.0992,0.104,0.0902
last_day_rch_amt_6,std_og_mou_7,0.0786,0.08,0.0709,0.0786,0.08,0.0709
last_day_rch_amt_6,std_og_mou_8,0.0463,0.0475,0.0158,0.0463,0.0475,0.0158
last_day_rch_amt_6,isd_og_mou_6,0.0877,0.0801,0.1782,0.0877,0.0801,0.1782
last_day_rch_amt_6,isd_og_mou_7,0.093,0.0899,0.1588,0.093,0.0899,0.1588
last_day_rch_amt_6,isd_og_mou_8,0.0831,0.0838,0.111,0.0831,0.0838,0.111
last_day_rch_amt_6,spl_og_mou_6,0.0079,0.0089,0.0017,0.0079,0.0089,0.0017
last_day_rch_amt_6,spl_og_mou_7,-0.0075,-0.0078,-0.0067,0.0075,0.0078,0.0067
last_day_rch_amt_6,spl_og_mou_8,-0.0205,-0.0227,-0.0153,0.0205,0.0227,0.0153
last_day_rch_amt_6,og_others_6,-0.0136,-0.0131,-0.0162,0.0136,0.0131,0.0162
